	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gm2808	1.4834586665413	0.262057885493967	0.811014059478702	0.323123726933181	0.74660154178666	0.831923066143121
Extl2	72.3708105921234	0.0370886472840219	0.114867731166883	0.322881342804086	0.746785106470233	0.83201407728166
Gemin2	91.2796609213777	0.0404965994873989	0.125410189023269	0.322913152454343	0.746761015260273	0.83201407728166
Zfp74	27.5736498958454	-0.0575188957667019	0.178530576301308	-0.322179522176787	0.747316697016819	0.83254954267931
4930562C15Rik	0.754575192481243	0.365947284953107	1.1362784954424	0.322057740616335	0.747408952100794	0.83259552593344
Mcat	34.653525663399	-0.0574269633550373	0.178647015574992	-0.321454927025808	0.747865664138002	0.833045259709696
Gm10247	1.03921649005783	-0.380878356167226	1.1850962465249	-0.321390230780065	0.747914685471668	0.833045259709696
Prpf4b	363.016085909212	-0.0373130296147755	0.116138193956062	-0.321281297252581	0.747997228372387	0.833080382827184
Unc13d	2.12890097756352	-0.233684365560793	0.728299316439671	-0.320863085116118	0.748314149765581	0.833262882250731
Gm36264	8.85103413450564	0.220591530982319	0.687490615825535	0.320864788412325	0.748312858920464	0.833262882250731
Casp7	24.0484288124957	0.0555276924774783	0.173047965318186	0.320880354619475	0.74830106208399	0.833262882250731
B3gnt4	0.990275267143972	-0.380950334865583	1.18875732361246	-0.320460978282708	0.748618906656582	0.83354540383933
Banp	103.846764594857	-0.0317509873691535	0.0992292407598878	-0.319976119196394	0.748986433729641	0.833897773241018
Hvcn1	17.6508599946578	-0.0737085368511857	0.230510240808318	-0.319762525919525	0.749148357243189	0.833985569589912
Tet1	1.14419719246689	-0.383993243602303	1.20096449466722	-0.319737382168574	0.749167419266079	0.833985569589912
Gm6652	1.23121095984718	0.358912753302991	1.12361398183759	0.319427097833024	0.749402665160949	0.834190589381721
Tns1	26.6925308505887	0.128289426110358	0.402959616105571	0.318367948009826	0.750205848175914	0.835027732052684
Tpst1	111.153673617805	0.033264381503061	0.104640234512408	0.317892841678568	0.750566222686937	0.835371919648566
Nelfa	150.088486698817	0.0279801274932159	0.0880678361695104	0.317711081709338	0.750704104455575	0.835411517713849
Zdhhc8	98.3422657838373	-0.0355161292092118	0.111776991761581	-0.31774096483977	0.750681434786748	0.835411517713849
Snhg1	646.957868017641	0.0741003353969158	0.233306816366704	0.317608960384798	0.750781576431128	0.835440805769107
Srcin1	3.49631387852294	0.139564019175574	0.439676476331693	0.31742434878478	0.750921634118706	0.835539728057413
Gm53646	0.651578539230251	0.359832624235199	1.13472194930675	0.317110834469216	0.75115950411825	0.835743446704614
Serpinb9	26.1446769922726	0.0822147109048267	0.259313011204568	0.31704815166397	0.751207065737432	0.835743446704614
Dis3	323.07309466973	0.0428292562702829	0.135179432414461	0.316832638703262	0.751370596985016	0.835868441520283
Sptlc2	210.61120646692	-0.0294437073370343	0.0929996270295325	-0.316600273328884	0.751546928355377	0.836007657941699
Padi4	204.265788794514	0.0472817801719623	0.149597161948955	0.316060676258655	0.751956453721943	0.83640623865605
4930443O20Rik	0.735050675964832	-0.39004300865286	1.23546931253402	-0.315704327655747	0.75222694158763	0.836593150153842
Sergef	39.0684400489832	-0.0536750833576788	0.169983214740382	-0.315766962283056	0.752179396312127	0.836593150153842
Dbr1	91.717728952572	0.034053251586268	0.107936885762415	0.315492255920968	0.752387929952392	0.836715216667742
Prmt9	78.986637384731	0.0368070319385329	0.116697461394732	0.315405592363593	0.752453721284611	0.83673140709609
Gm16638	0.639261396654081	-0.395693877522152	1.25531478667337	-0.315214862218549	0.752598521932184	0.836835447998123
P3h2	27.2178691893378	-0.0824012920968108	0.261473523540974	-0.315142011248027	0.752653832045813	0.836839974468801
Gm31812	1.54878650837419	0.257366119143682	0.818148902496702	0.31457124535435	0.753087214419732	0.83726483226025
Capzb	455.036224850072	-0.0190363676505998	0.0605741935071608	-0.314265309175753	0.753319543712529	0.837466121292834
Gm5120	0.88710001552664	0.360161963287053	1.14735961496118	0.313905037784721	0.75359316404725	0.83771328309418
Rusf1	32.0529381956988	0.057999922236301	0.184917677826091	0.31365266381318	0.753784856458535	0.837869344291894
Lims2	1.74963317476874	0.263634791818739	0.84094366562884	0.313498754546892	0.753901766765376	0.837942265878053
Hhipl2	0.705483853536764	-0.382554431255805	1.22171520265681	-0.313128976723774	0.754182675042533	0.838155025894925
Tmem202	1.32987690299294	0.260446039394568	0.831799225157774	0.313111663869568	0.754195827856467	0.838155025894925
Shc4	3.71015324228565	-0.206374596563078	0.659589901950992	-0.312883195986848	0.75436940473293	0.838290883724448
Cntrob	72.660761996726	0.0391711010719898	0.12538311033614	0.312411304576636	0.754727960205559	0.838632266027839
Sidt1	0.994556348134561	-0.382353208142555	1.22523991474942	-0.312063950529029	0.754991922704787	0.838868500007795
Clk1	208.744946855462	0.0263392319224293	0.0844409627242882	0.311924817916047	0.755097660873013	0.838871845274338
Nubp1	23.8767066189721	-0.0582124120178981	0.186592649310586	-0.311975912411226	0.755058829484687	0.838871845274338
Slit1	1.73530135302404	0.259976973975397	0.837336508288263	0.310480877642441	0.756195298919254	0.840034119300044
Akr1c18	26.7795891818453	-0.368042990935411	1.18641420209725	-0.310214586343297	0.756397779018514	0.840124262730282
Adam2	0.742981210923196	0.348475305888696	1.12349341496909	0.310171204606735	0.75643076680436	0.840124262730282
Cby1	23.4851187201646	-0.0579319476266262	0.186723712178131	-0.310254905233247	0.756367120641382	0.840124262730282
Hoxa13	3.49800067534914	0.221166173920647	0.713230071814186	0.310090926702072	0.756491811873601	0.840134929383902
Sirt4	52.4878657994722	0.0471128059129986	0.151967611726847	0.310018729501923	0.756546713496825	0.840138772341752
Cdh19	10.655003840618	-0.0997121203813729	0.321881726266911	-0.30977875487933	0.756729208575873	0.840284296604648
